,NO,Site,Result,TestName,Signal,Measure,LowLimit,HighLimit,Force,CheckStatus
0,3,0,PASS,OS_NEG,CH_VCOMS_B1,-398.7766mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
1,3,0,PASS,OS_NEG,CH_VCOMS_T1,-400.8254mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
2,3,0,PASS,OS_NEG,CH_VREFN_B1,-391.1464mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
3,3,0,PASS,OS_NEG,CH_VREFN_T1,-388.7908mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
4,3,0,PASS,OS_NEG,CH_VREFP_B1,-413.4622mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
5,3,0,PASS,OS_NEG,CH_VREFP_T1,-411.2001mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
6,3,0,PASS,OS_NEG,CH_VRPGA_B1,-413.3403mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
7,3,0,PASS,OS_NEG,CH_VRPGA_T1,-409.9973mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
8,3,0,PASS,OS_NEG,CH_VDDCL1,-395.1969mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
9,3,0,PASS,OS_NEG,CH_RSH1,-215.9502mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
10,3,0,PASS,OS_NEG,CH_GRSTH1,-229.9791mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
11,3,0,PASS,OS_NEG,CH_TX2H1,-181.0336mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
12,3,0,PASS,OS_NEG,CH_TX1H1,-201.0978mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
13,3,0,PASS,OS_NEG,SA,-409.3221mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
14,3,0,PASS,OS_NEG,SYSSTBN,-429.8171mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
15,3,0,PASS,OS_NEG,SYSRSTN,-468.5720mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
16,3,0,PASS,OS_NEG,VCP2,-408.9383mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
17,3,0,PASS,OS_NEG,VIREF,-452.9941mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
18,3,0,PASS,OS_NEG,SDO,-470.4198mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
19,3,0,PASS,OS_NEG,CSN,-298.5492mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
20,3,0,PASS,OS_NEG,SCK,-470.9807mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
21,3,0,PASS,OS_NEG,SDI,-437.9587mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
22,3,0,PASS,OS_NEG,HSYNC,-304.4735mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
23,3,0,PASS,OS_NEG,VSYNC,-395.4392mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
24,3,0,PASS,OS_NEG,DTSTR0,-300.7266mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
25,3,0,PASS,OS_NEG,DTSTR1,-474.7298mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
26,3,0,PASS,OS_NEG,DTSTR3,-476.6276mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
27,3,0,PASS,OS_NEG,DTSTR4,-300.9944mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
28,3,0,PASS,OS_NEG,TOUT0,-473.8392mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
29,3,0,PASS,OS_NEG,TOUT1,-477.5988mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
30,3,0,PASS,OS_NEG,TOUT2,-474.8438mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
31,3,0,PASS,OS_NEG,ATST0,-436.3015mV,-800.0000mV,-100.0000mV,-100.0000uA,Checked
